type,annotations.pid,annotations.source,from,to,annotations.time,annotations.operation,annotations.flags,annotations.protection,annotations.advice,annotations.mode
Used,,syscall,0be09da77ee93f5b371df8c850bf4cbb,48bf2159b023277c776cb42f52a859ff,1679540190.920,open,O_RDONLY,,,
Used,,syscall,0be09da77ee93f5b371df8c850bf4cbb,48bf2159b023277c776cb42f52a859ff,1679540190.920,close,,,,
Used,,syscall,0be09da77ee93f5b371df8c850bf4cbb,c15ce721bc1372b0b8381f3d955c1857,1679540190.920,open,O_RDONLY,,,
Used,,syscall,0be09da77ee93f5b371df8c850bf4cbb,c15ce721bc1372b0b8381f3d955c1857,1679540190.920,close,,,,
Used,,syscall,0be09da77ee93f5b371df8c850bf4cbb,7b65297e7853d3c2609c9699289a1337,1679540190.920,open,O_RDONLY,,,
Used,,syscall,0be09da77ee93f5b371df8c850bf4cbb,7b65297e7853d3c2609c9699289a1337,1679540190.920,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,7674ff82f7b427f1429d85c7f25e5fc2,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,7674ff82f7b427f1429d85c7f25e5fc2,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,a33605802b6d67b090dceb8544169f58,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,a33605802b6d67b090dceb8544169f58,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,a33605802b6d67b090dceb8544169f58,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,a33605802b6d67b090dceb8544169f58,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,d4c33859e45e12931d8a44a6cdf6480b,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,d4c33859e45e12931d8a44a6cdf6480b,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,d4c33859e45e12931d8a44a6cdf6480b,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,d4c33859e45e12931d8a44a6cdf6480b,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,8b7899b0af53ad14ed57bbb8a6b99c02,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,8b7899b0af53ad14ed57bbb8a6b99c02,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,8b7899b0af53ad14ed57bbb8a6b99c02,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,8b7899b0af53ad14ed57bbb8a6b99c02,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,46b8c46e164133cb64b0e47a68f44445,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,46b8c46e164133cb64b0e47a68f44445,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,46b8c46e164133cb64b0e47a68f44445,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,46b8c46e164133cb64b0e47a68f44445,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,c21c12bb3e8b157b7f65375341c0ed1d,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,c21c12bb3e8b157b7f65375341c0ed1d,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,c21c12bb3e8b157b7f65375341c0ed1d,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,c21c12bb3e8b157b7f65375341c0ed1d,1679540190.924,close,,,,
